"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"id-59931","51.319169798332538","12.371323743473825","Blumen-Esche","Fraxinus ornus","Fraxinus","Kochstraße",2018,3,"Südvorstadt","75691",10,60,6
"id-28403","51.333028920597194","12.403631569355712","Gefülltblühende Rosskastanie","Aesculus hippocastanum 'Baumannii'","Aesculus","Eilenburger Straße",2005,16,"Reudnitz-Thonberg","22464",5,5,1
"id-8819","51.325538261999647","12.343038304107077","Straßen-Robinie","Robinia pseudoacacia 'Monophylla'","Robinia","Brockhausstraße",2005,16,"Schleußig","40858",50,50,1
"id-59909","51.317613842581011","12.372987077599756","Französischer Ahorn","Acer monspessulanum","Acer","Steinstraße",2020,1,"Südvorstadt","75768",25,50,2
"id-12673","51.338121639408186","12.333406570359932","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Rietschelstraße",2000,21,"Altlindenau","54834",25,50,4
"id-8970","51.327275573962147","12.345671032476274","Hopfenbuche","Ostrya carpinifolia","Ostrya","Könneritzstraße",2016,5,"Schleußig","39570",10,100,10
"300","51.359191629799561","12.293654891030734","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Leipziger Straße",2020,1,"Böhlitz-Ehrenberg","57084",10,50,5
"id-31477","51.346631195050925","12.411345473475160","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Mariannenstraße",1997,24,"Volkmarsdorf","8360",50,175,6
"id-31104","51.344920200808659","12.419078163055845","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Eisenbahnstraße",2020,1,"Volkmarsdorf","8935",50,500,10
"id-30311","51.331922451729113","12.406023968819213","Kegelförmiger Spitz-Ahorn","Acer platanoides 'Emerald Queen'","Acer","Riebeckstraße",1996,25,"Reudnitz-Thonberg","22106",10,10,1
"id-56530","51.343911073157336","12.374721272285566","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Richard-Wagner-Straße",2013,8,"Zentrum","73388",10,50,5
"id-35934","51.370386633251179","12.408517469740692","Winter-Linde 'Roelvo'","Tilia cordata 'Roelvo'","Tilia","Gontardweg",2013,8,"Mockau-Süd","2112",5,5,1
"id-28465","51.334407410521436","12.400878643970040","Gefülltblühende Rosskastanie","Aesculus hippocastanum 'Baumannii'","Aesculus","Reichpietschstraße",1999,22,"Reudnitz-Thonberg","22196",10,30,3
"137","51.304620053736727","12.426730400663507","Gefülltblühende Vogel-Kirsche","Prunus avium 'Plena'","Prunus","Bockstraße",2020,1,"Probstheida","26155",25,65,4
"1197","51.362661282683483","12.377832014221086","Feld-Ahorn ''Huibers Elegant'","Acer campestre 'Huibers Elegant'","Acer","Wilhelm-Sammet-Straße",2020,1,"Gohlis-Mitte","77007",10,10,1
"id-19710","51.309976629633013","12.380503775310196","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Arno-Nitzsche-Straße",2011,10,"Connewitz","31839",10,60,6
"id-53071","51.342738403405725","12.375738980692351","Säulen-Eiche 'Fastigiata Koster'","Quercus robur 'Fastigiata Koster'","Quercus","Katharinenstraße",2017,4,"Zentrum","71042",50,80,4
