"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"id-25909","51.3241206554","12.4157364721","Chinesische Wildbirne 'Chanticleer'","Pyrus calleryana 'Chanticleer'","Pyrus","Schwarzackerstraße",2001,23,"Stötteritz","26173",35,"60","2"
"102047","51.3227902345","12.3211241631","Haus-Apfel 'Cox Orange'","Malus domestica 'Cox Orange'","Malus","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42214",150,"550","5"
"id-60271","51.328040261","12.2799124625","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76353",200,"500","4"
"16613","51.3674642146","12.3720836756","Hopfenbuche","Ostrya carpinifolia","Ostrya","Corinthstraße",2024,0,"Gohlis-Mitte","133796",50,"200","7"
"94861","51.3216252061","12.3208523179","Haus-Apfel  'Weißer Winter-Calville'","Malus domestica 'Weißer Winter-Calville'","Malus","Gleis-Grün-Zug Bahnhof Plagwitz",2020,4,"Plagwitz","G42191",150,"500","5"
"2321","51.3435149916","12.3191801162","Säulen-Tulpenbaum","Liriodendron tulipifera 'Fastigiatum'","Liriodendron","Pufendorfstraße",2021,3,"Altlindenau","77002",90,"120","2"
"90154","51.3292054066","12.3086328418","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20502",50,"100","2"
"id-60301","51.3271789066","12.2760303721","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76329",100,"600","6"
"17092","51.332375784448686","12.332540342585332",NULL,NULL,"Ailanthus","Merseburgerstraße",2024,0,"Altlindenau","osm_wababele_mbstr_39",3,"17","8"
"id-15260","51.3509116156","12.3426825852","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Am Sportforum",2009,15,"Zentrum-Nordwest","42528",20,"72","4"
